nom_clean,nom_gare,x,y,Trafic,Ville,ligne
MAIRIEDISSY,Mairie d'Issy,48.824152,2.273434,2874138.0,Issy-les-Moulineaux,12
MAIRIEDIVRY,Mairie d'Ivry,48.81112,2.38339,2042071.0,Ivry-sur-Seine,7
MAISONBLANCHE,Maison Blanche,48.822155,2.358531,1203631.0,Paris,7
MAISONSALFORTLESJUILLIOTTES,Maisons-Alfort—Les Juilliottes,48.802567,2.446432,1297495.0,Maisons-Alfort,8
MAISONSALFORTSTADE,Maisons-Alfort—Stade,48.808681,2.436073,1702479.0,Maisons-Alfort,8
MALAKOFFPLATEAUDEVANVES,Malakoff—Plateau de Vanves,48.82284,2.29834,2242320.0,Malakoff,13
MALAKOFFRUEETIENNEDOLET,Malakoff—Rue Étienne Dolet,48.8147,2.2973,1450451.0,Malakoff,13
MALESHERBES,Malesherbes,48.882476,2.311002,1427143.0,Paris,3
MARAICHERS,Maraîchers,48.852851,2.40699,1994064.0,Paris,9
MARCADETPOISSONNIERS,Marcadet—Poissonniers,48.890278,2.35,3982005.0,Paris,4
MARCADETPOISSONNIERS,Marcadet—Poissonniers,48.890278,2.35,3982005.0,Paris,12
MARCELSEMBAT,Marcel Sembat,48.83367,2.243579,3874792.0,Boulogne-Billancourt,9
MARXDORMOY,Marx Dormoy,48.891213,2.359909,2425928.0,Paris,12
MAUBERTMUTUALITE,Maubert—Mutualité,48.850193,2.347936,1280387.0,Paris,10
MENILMONTANT,Ménilmontant,48.866248,2.383618,2847264.0,Paris,2
MICHELBIZOT,Michel Bizot,48.837485,2.401234,1403416.0,Paris,8
MICHELANGEAUTEUIL,Michel-Ange—Auteuil,48.8475,2.263611,1512050.0,Paris,9
MICHELANGEAUTEUIL,Michel-Ange—Auteuil,48.8475,2.263611,1512050.0,Paris,10
MICHELANGEMOLITOR,Michel-Ange—Molitor,48.84496,2.261194,1420552.0,Paris,9
MICHELANGEMOLITOR,Michel-Ange—Molitor,48.84496,2.261194,1420552.0,Paris,10
MIRABEAU,Mirabeau,48.8469,2.2721,1001302.0,Paris,10
MIROMESNIL,Miromesnil,48.87367,2.31446,3647255.0,Paris,9
MIROMESNIL,Miromesnil,48.87367,2.31446,3647255.0,Paris,13
MONCEAU,Monceau,48.88,2.308333,1148677.0,Paris,2
MONTGALLET,Montgallet,48.844276,2.389974,1108395.0,Paris,8
MONTPARNASSEBIENVENUE,Montparnasse—Bienvenüe,48.843466,2.323072,20407224.0,Paris,4
MONTPARNASSEBIENVENUE,Montparnasse—Bienvenüe,48.843466,2.323072,20407224.0,Paris,6
MONTPARNASSEBIENVENUE,Montparnasse—Bienvenüe,48.843466,2.323072,20407224.0,Paris,12
MONTPARNASSEBIENVENUE,Montparnasse—Bienvenüe,48.843466,2.323072,20407224.0,Paris,13
MOUTONDUVERNET,Mouton-Duvernet,48.832139,2.330325,1131403.0,Paris,4
NATION,Nation,48.848333,2.395833,6050797.0,Paris,1
NATION,Nation,48.848333,2.395833,6050797.0,Paris,2
NATION,Nation,48.848333,2.395833,6050797.0,Paris,6
NATION,Nation,48.848333,2.395833,6050797.0,Paris,9
NATIONALE,Nationale,48.833183,2.362718,1320290.0,Paris,6
NOTREDAMEDELORETTE,Notre-Dame-de-Lorette,48.87604,2.337341,1893828.0,Paris,12
NOTREDAMEDESCHAMPS,Notre-Dame-des-Champs,48.844568,2.328788,1487256.0,Paris,12
OBERKAMPF,Oberkampf,48.8635,2.37025,3205110.0,Paris,5
OBERKAMPF,Oberkampf,48.8635,2.37025,3205110.0,Paris,9
ODEON,Odéon,48.851944,2.338889,3478491.0,Paris,4
ODEON,Odéon,48.851944,2.338889,3478491.0,Paris,10
OLYMPIADES,Olympiades,48.827222,2.368333,5214595.0,Paris,14
